text,question,answer_term,ep,sp
" Nuclear receptor CAR specifically activates the two-pore K+ channel Kcnk1 gene in male mouse livers, which attenuates phenobarbital-induced hepatic hyperplasia.KCNK1, a member of the family of two-pore K(+) ion channels, is specifically induced in the livers of male mice after phenobarbital treatment. Here, we have determined the molecular mechanism of this male-specific activation of the Kcnk1 gene and characterized KCNK1 as a phenobarbital-inducible antihyperplasia factor. Upon activation by phenobarbital, nuclear receptor CAR binds the 97-bp response element (-2441/-2345) within the Kcnk1 promoter. This binding is observed in the livers of",phenobarbital acts as ACTIVATOR for what entity? ,KCNK1,427.0,422.0
" Nuclear receptor CAR specifically activates the two-pore K+ channel Kcnk1 gene in male mouse livers, which attenuates phenobarbital-induced hepatic hyperplasia.KCNK1, a member of the family of two-pore K(+) ion channels, is specifically induced in the livers of male mice after phenobarbital treatment. Here, we have determined the molecular mechanism of this male-specific activation of the Kcnk1 gene and characterized KCNK1 as a phenobarbital-inducible antihyperplasia factor. Upon activation by phenobarbital, nuclear receptor CAR binds the 97-bp response element (-2441/-2345) within the Kcnk1 promoter. This binding is observed in the livers of",phenobarbital acts as ACTIVATOR for what entity? ,K(+) ion channels,-1.0,-1.0
" mouse livers, which attenuates phenobarbital-induced hepatic hyperplasia.KCNK1, a member of the family of two-pore K(+) ion channels, is specifically induced in the livers of male mice after phenobarbital treatment. Here, we have determined the molecular mechanism of this male-specific activation of the Kcnk1 gene and characterized KCNK1 as a phenobarbital inducible antihyperplasia factor. Upon activation by phenobarbital, nuclear receptor CAR binds the 97-bp response element (-2441/-2345) within the Kcnk1 promoter. This binding is observed in the livers of male mice, but not in the livers of female mice and requires the pituitary gland, because hypophysectomy abrogates it. Hyperplasia further",phenobarbital acts as ACTIVATOR for what entity? ,KCNK1,340.0,335.0
" hyperplasia.KCNK1, a member of the family of two-pore K(+) ion channels, is specifically induced in the livers of male mice after phenobarbital treatment. Here, we have determined the molecular mechanism of this male-specific activation of the Kcnk1 gene and characterized KCNK1 as a phenobarbital-inducible antihyperplasia factor. Upon activation by phenobarbital nuclear receptor CAR binds the 97-bp response element (-2441/-2345) within the Kcnk1 promoter. This binding is observed in the livers of male mice, but not in the livers of female mice and requires the pituitary gland, because hypophysectomy abrogates it. Hyperplasia further progressed in the livers of Kcnk1 (",phenobarbital acts as ACTIVATOR for what entity? ,nuclear receptor,382.0,366.0
" hyperplasia.KCNK1, a member of the family of two-pore K(+) ion channels, is specifically induced in the livers of male mice after phenobarbital treatment. Here, we have determined the molecular mechanism of this male-specific activation of the Kcnk1 gene and characterized KCNK1 as a phenobarbital-inducible antihyperplasia factor. Upon activation by phenobarbital nuclear receptor CAR binds the 97-bp response element (-2441/-2345) within the Kcnk1 promoter. This binding is observed in the livers of male mice, but not in the livers of female mice and requires the pituitary gland, because hypophysectomy abrogates it. Hyperplasia further progressed in the livers of Kcnk1 (",phenobarbital acts as ACTIVATOR for what entity? ,CAR,386.0,383.0
" in the livers of female mice and requires the pituitary gland, because hypophysectomy abrogates it. Hyperplasia further progressed in the livers of Kcnk1 ( -/- ) male mice compared with those of Kcnk1 ( +/+ ) males after phenobarbital treatment. Thus, KCNK1 suppresses phenobarbital-induced hyperplasia. These results indicate that phenobarbital treatment induces KCNK1 to elicit a male-specific and growth-suppressing signal. Thus, KCNK1 and Kcnk1 ( -/- ) mice provide an experimental tool for further investigation into the molecular mechanism of CAR-mediated promotion of the development of hepatocellular carcinoma in mice.",phenobarbital acts as ACTIVATOR for what entity? ,KCNK1,258.0,253.0
" mouse livers, which attenuates phenobarbital-induced hepatic hyperplasia.KCNK1, a member of the family of two-pore K(+) ion channels, is specifically induced in the livers of male mice after phenobarbital treatment. Here, we have determined the molecular mechanism of this male-specific activation of the Kcnk1 gene and characterized KCNK1 as a phenobarbital inducible antihyperplasia factor. Upon activation by phenobarbital, nuclear receptor CAR binds the 97-bp response element (-2441/-2345) within the Kcnk1 promoter. This binding is observed in the livers of male mice, but not in the livers of female mice and requires the pituitary gland, because hypophysectomy abrogates it. Hyperplasia further",phenobarbital acts as INDIRECT-UPREGULATOR for what entity? ,Kcnk1,311.0,306.0
" cell CLL/lymphoma 2 (BCL-2) family are key regulators of the apoptotic process. This family comprises proapoptotic and prosurvival proteins, and shifting the balance toward the latter is an established mechanism whereby cancer cells evade apoptosis. The therapeutic potential of directly inhibiting prosurvival proteins was unveiled with the development of navitoclax a selective inhibitor of both BCL-2 and BCL-2-like 1 (BCL-X(L)), which has shown clinical efficacy in some BCL-2-dependent hematological cancers. However, concomitant on-target thrombocytopenia caused by BCL-X(L) inhibition limits the efficacy achievable with this agent. Here we report the re-engineering of navitoclax to create a highly potent, orally bioavailable",navitoclax acts as INHIBITOR for what entity? ,BCL-2,404.0,399.0
" cell CLL/lymphoma 2 (BCL-2) family are key regulators of the apoptotic process. This family comprises proapoptotic and prosurvival proteins, and shifting the balance toward the latter is an established mechanism whereby cancer cells evade apoptosis. The therapeutic potential of directly inhibiting prosurvival proteins was unveiled with the development of navitoclax a selective inhibitor of both BCL-2 and BCL-2-like 1 (BCL-X(L)), which has shown clinical efficacy in some BCL-2-dependent hematological cancers. However, concomitant on-target thrombocytopenia caused by BCL-X(L) inhibition limits the efficacy achievable with this agent. Here we report the re-engineering of navitoclax to create a highly potent, orally bioavailable",navitoclax acts as INHIBITOR for what entity? ,BCL-2-like 1,421.0,409.0
" cell CLL/lymphoma 2 (BCL-2) family are key regulators of the apoptotic process. This family comprises proapoptotic and prosurvival proteins, and shifting the balance toward the latter is an established mechanism whereby cancer cells evade apoptosis. The therapeutic potential of directly inhibiting prosurvival proteins was unveiled with the development of navitoclax a selective inhibitor of both BCL-2 and BCL-2-like 1 (BCL-X(L)), which has shown clinical efficacy in some BCL-2-dependent hematological cancers. However, concomitant on-target thrombocytopenia caused by BCL-X(L) inhibition limits the efficacy achievable with this agent. Here we report the re-engineering of navitoclax to create a highly potent, orally bioavailable",navitoclax acts as INHIBITOR for what entity? ,BCL-X(L),581.0,573.0
" proteins was unveiled with the development of navitoclax, a selective inhibitor of both BCL-2 and BCL-2-like 1 (BCL-X(L)), which has shown clinical efficacy in some BCL-2-dependent hematological cancers. However, concomitant on-target thrombocytopenia caused by BCL-X(L) inhibition limits the efficacy achievable with this agent. Here we report the re-engineering of navitoclax to create a highly potent, orally bioavailable and BCL-2-selective inhibitor, ABT-199. This compound inhibits the growth of BCL-2-dependent tumors in vivo and spares human platelets. A single dose of ABT-199 in three patients with refractory chronic lymphocytic leukemia resulted in tumor lysis within 24 h. These data indicate that",navitoclax acts as INHIBITOR for what entity? ,BCL-2,94.0,89.0
" of both BCL-2 and BCL-2-like 1 (BCL-X(L)), which has shown clinical efficacy in some BCL-2-dependent hematological cancers. However, concomitant on-target thrombocytopenia caused by BCL-X(L) inhibition limits the efficacy achievable with this agent. Here we report the re-engineering of navitoclax to create a highly potent, orally bioavailable and BCL-2-selective inhibitor, ABT-199 This compound inhibits the growth of BCL-2-dependent tumors in vivo and spares human platelets. A single dose of ABT-199 in three patients with refractory chronic lymphocytic leukemia resulted in tumor lysis within 24 h. These data indicate that selective pharmacological inhibition of BCL-2 shows promise for the treatment of",ABT-199 acts as INHIBITOR for what entity? ,BCL-2,14.0,9.0
" TA1537 and WP2 strains were 37.70% and 69.70%, respectively. According to the SCE test system, MEP reduced the genotoxic effects of aflatoxin. In order to clarify the mechanism underlying the antigenotoxic effects of MEP, the antioxidants were determined. Cotreatments of 5, 10 and 20 µg/mL concentrations of MEP with aflatoxin B(1) decreased the frequencies of SCE and the malondialdehyde level and increased amount of superoxide dismutase, glutathione and glutathione peroxidase which were decreased by aflatoxin. The data obtained from this work have clearly shown that MEP has significant antigenotoxic effects which are thought to be partly due to the antioxidant",aflatoxin B(1) acts as INDIRECT-UPREGULATOR for what entity? ,superoxide dismutase,-1.0,-1.0
" clarify the mechanism underlying the antigenotoxic effects of MEP, the antioxidants were determined. Cotreatments of 5, 10 and 20 µg/mL concentrations of MEP with aflatoxin B(1) decreased the frequencies of SCE and the malondialdehyde level and increased amount of superoxide dismutase, glutathione and glutathione peroxidase which were decreased by aflatoxin The data obtained from this work have clearly shown that MEP has significant antigenotoxic effects which are thought to be partly due to the antioxidant activities and antioxidant inducing capability of MEP. This is the first report indicating the antigenotoxic activities of MEP against several mutagen agents such as",aflatoxin acts as INDIRECT-DOWNREGULATOR for what entity? ,glutathione peroxidase,326.0,304.0
